id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20001	Gremlin		9C	E8	A9	-1
20002	Rabbit		9C	E8	A9	-1
20003	Goblin		9C	E8	A9	-1
20004	Imp		9C	E8	A9	-1
20005	Imp Elder		9C	E8	A9	-1
20006	Orc Archer		9C	E8	A9	-1
20007	Green Fungus		9C	E8	A9	-1
20008	Felim Lizardman		9C	E8	A9	-1
20009	Vuku Orc		9C	E8	A9	-1
20010	Felim Lizardman Scout		9C	E8	A9	-1
20011	Vuku Orc Archer		9C	E8	A9	-1
20012	Gora Werewolf		9C	E8	A9	-1
20013	Dryad		9C	E8	A9	-1
20014	Felim Lizardman Warrior		9C	E8	A9	-1
20015	Marsh Zombie		9C	E8	A9	-1
20016	Stone Golem		9C	E8	A9	-1
20017	Vuku Orc Fighter		9C	E8	A9	-1
20018	Carnivorous Fungus		9C	E8	A9	-1
20019	Dryad Elder		9C	E8	A9	-1
20020	Marsh Zombie Lord		9C	E8	A9	-1
20021	Red Bear		9C	E8	A9	-1
20022	Misery Skeleton		9C	E8	A9	-1
20023	Shadow Beast		9C	E8	A9	-1
20024	Langk Lizardman Warrior		9C	E8	A9	-1
20025	Lesser Dark Horror		9C	E8	A9	-1
20026	Ruin Zombie		9C	E8	A9	-1
20027	Langk Lizardman Scout		9C	E8	A9	-1
20028	Pincher		9C	E8	A9	-1
20029	Ruin Zombie Leader		9C	E8	A9	-1
20030	Langk Lizardman		9C	E8	A9	-1
20031	Omen Beast		9C	E8	A9	-1
20032	Pinrul		9C	E8	A9	-1
20033	Shade Horror		9C	E8	A9	-1
20034	Prowler		9C	E8	A9	-1
20035	Tracker Skeleton		9C	E8	A9	-1
20036	Lirein		9C	E8	A9	-1
20037	Mana Seeker		9C	E8	A9	-1
20038	Poison Spider		9C	E8	A9	-1
20039	Scavenger Wererat		9C	E8	A9	-1
20040	Sukar Wererat		9C	E8	A9	-1
20041	Tainted Zombie		9C	E8	A9	-1
20042	Tracker Skeleton Leader		9C	E8	A9	-1
20043	Arachnid Tracker		9C	E8	A9	-1
20044	Lirein Elder		9C	E8	A9	-1
20045	Skeleton Scout		9C	E8	A9	-1
20046	Stink Zombie		9C	E8	A9	-1
20047	Sukar Wererat Leader		9C	E8	A9	-1
20048	Lesser Succubus		9C	E8	A9	-1
20049	Lycanthrope		9C	E8	A9	-1
20050	Arachnid Predator		9C	E8	A9	-1
20051	Skeleton Bowman		9C	E8	A9	-1
20052	Lesser Succubus Turen		9C	E8	A9	-1
20053	Ol Mahum Patrol		9C	E8	A9	-1
20054	Ruin Spartoi		9C	E8	A9	-1
20055	Wandering Eye		9C	E8	A9	-1
20056	Dre Vanul Disposer		9C	E8	A9	-1
20057	Lesser Succubus Tilfo		9C	E8	A9	-1
20058	Ol Mahum Guard		9C	E8	A9	-1
20059	Hungry Eye		9C	E8	A9	-1
20060	Raging Spartoi		9C	E8	A9	-1
